[2026-02-13 02:00:08] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969608099","Packet ID:":"0","PM1.0:":"63","PM2.5:":"72","PM10:":"85","CO2:":"521","CO:":"5","Temperature:":"5.91","Humidity:":"54.05","Airpressure:":"1013.69","Altitude:":"-3.66"}
[2026-02-13 02:00:10] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969610300","Packet ID:":"0","PM1.0:":"63","PM2.5:":"72","PM10:":"85","CO2:":"521","CO:":"5","Temperature:":"5.85","Humidity:":"54.11","Airpressure:":"1013.69","Altitude:":"-3.67"}
[2026-02-13 02:00:12] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969612701","Packet ID:":"0","PM1.0:":"63","PM2.5:":"72","PM10:":"85","CO2:":"522","CO:":"5","Temperature:":"5.76","Humidity:":"54.21","Airpressure:":"1013.67","Altitude:":"-3.52"}
[2026-02-13 02:00:14] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969614713","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"85","CO2:":"523","CO:":"5","Temperature:":"5.71","Humidity:":"54.34","Airpressure:":"1013.68","Altitude:":"-3.57"}
[2026-02-13 02:00:17] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969616939","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"85","CO2:":"523","CO:":"5","Temperature:":"5.69","Humidity:":"54.41","Airpressure:":"1013.69","Altitude:":"-3.70"}
[2026-02-13 02:00:19] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969619417","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"85","CO2:":"524","CO:":"5","Temperature:":"5.68","Humidity:":"54.49","Airpressure:":"1013.70","Altitude:":"-3.74"}
[2026-02-13 02:00:21] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969621432","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"85","CO2:":"524","CO:":"5","Temperature:":"5.62","Humidity:":"54.59","Airpressure:":"1013.67","Altitude:":"-3.54"}
[2026-02-13 02:00:23] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969623590","Packet ID:":"0","PM1.0:":"63","PM2.5:":"70","PM10:":"85","CO2:":"524","CO:":"5","Temperature:":"5.62","Humidity:":"54.67","Airpressure:":"1013.70","Altitude:":"-3.75"}
[2026-02-13 02:00:26] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969626131","Packet ID:":"0","PM1.0:":"61","PM2.5:":"70","PM10:":"85","CO2:":"525","CO:":"5","Temperature:":"5.57","Humidity:":"54.77","Airpressure:":"1013.68","Altitude:":"-3.61"}
[2026-02-13 02:00:28] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969628010","Packet ID:":"0","PM1.0:":"61","PM2.5:":"70","PM10:":"85","CO2:":"525","CO:":"5","Temperature:":"5.56","Humidity:":"54.88","Airpressure:":"1013.69","Altitude:":"-3.67"}
[2026-02-13 02:00:30] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969630237","Packet ID:":"0","PM1.0:":"61","PM2.5:":"70","PM10:":"85","CO2:":"525","CO:":"5","Temperature:":"5.51","Humidity:":"54.99","Airpressure:":"1013.70","Altitude:":"-3.74"}
[2026-02-13 02:00:33] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969632852","Packet ID:":"0","PM1.0:":"61","PM2.5:":"70","PM10:":"85","CO2:":"526","CO:":"5","Temperature:":"5.45","Humidity:":"55.12","Airpressure:":"1013.68","Altitude:":"-3.54"}
[2026-02-13 02:00:34] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969634665","Packet ID:":"0","PM1.0:":"61","PM2.5:":"70","PM10:":"85","CO2:":"526","CO:":"5","Temperature:":"5.43","Humidity:":"55.21","Airpressure:":"1013.69","Altitude:":"-3.68"}
[2026-02-13 02:00:37] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969636842","Packet ID:":"0","PM1.0:":"61","PM2.5:":"70","PM10:":"85","CO2:":"526","CO:":"5","Temperature:":"5.35","Humidity:":"55.36","Airpressure:":"1013.68","Altitude:":"-3.56"}
[2026-02-13 02:00:39] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969639092","Packet ID:":"0","PM1.0:":"61","PM2.5:":"70","PM10:":"85","CO2:":"527","CO:":"5","Temperature:":"5.35","Humidity:":"55.50","Airpressure:":"1013.67","Altitude:":"-3.53"}
[2026-02-13 02:00:41] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969641292","Packet ID:":"0","PM1.0:":"60","PM2.5:":"69","PM10:":"84","CO2:":"527","CO:":"5","Temperature:":"5.32","Humidity:":"55.58","Airpressure:":"1013.70","Altitude:":"-3.71"}
[2026-02-13 02:00:43] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969643535","Packet ID:":"0","PM1.0:":"60","PM2.5:":"69","PM10:":"84","CO2:":"527","CO:":"5","Temperature:":"5.30","Humidity:":"55.60","Airpressure:":"1013.71","Altitude:":"-3.82"}
[2026-02-13 02:00:45] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969645813","Packet ID:":"0","PM1.0:":"60","PM2.5:":"69","PM10:":"84","CO2:":"528","CO:":"5","Temperature:":"5.26","Humidity:":"55.68","Airpressure:":"1013.68","Altitude:":"-3.62"}
[2026-02-13 02:00:48] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969647940","Packet ID:":"0","PM1.0:":"60","PM2.5:":"69","PM10:":"84","CO2:":"528","CO:":"5","Temperature:":"5.25","Humidity:":"55.84","Airpressure:":"1013.68","Altitude:":"-3.61"}
[2026-02-13 02:00:50] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969650167","Packet ID:":"0","PM1.0:":"60","PM2.5:":"69","PM10:":"82","CO2:":"529","CO:":"5","Temperature:":"5.20","Humidity:":"55.93","Airpressure:":"1013.70","Altitude:":"-3.71"}
[2026-02-13 02:00:52] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969652546","Packet ID:":"0","PM1.0:":"60","PM2.5:":"69","PM10:":"82","CO2:":"530","CO:":"5","Temperature:":"5.20","Humidity:":"56.03","Airpressure:":"1013.73","Altitude:":"-3.98"}
[2026-02-13 02:00:54] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969654606","Packet ID:":"0","PM1.0:":"60","PM2.5:":"69","PM10:":"82","CO2:":"530","CO:":"5","Temperature:":"5.20","Humidity:":"56.23","Airpressure:":"1013.68","Altitude:":"-3.57"}
[2026-02-13 02:00:56] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969656821","Packet ID:":"0","PM1.0:":"58","PM2.5:":"69","PM10:":"82","CO2:":"531","CO:":"5","Temperature:":"5.18","Humidity:":"56.37","Airpressure:":"1013.71","Altitude:":"-3.85"}
[2026-02-13 02:00:59] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969659250","Packet ID:":"0","PM1.0:":"58","PM2.5:":"69","PM10:":"82","CO2:":"532","CO:":"5","Temperature:":"5.17","Humidity:":"56.56","Airpressure:":"1013.68","Altitude:":"-3.62"}
[2026-02-13 02:01:01] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969661237","Packet ID:":"0","PM1.0:":"58","PM2.5:":"69","PM10:":"82","CO2:":"532","CO:":"5","Temperature:":"5.15","Humidity:":"56.63","Airpressure:":"1013.70","Altitude:":"-3.76"}
[2026-02-13 02:01:03] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969663450","Packet ID:":"0","PM1.0:":"58","PM2.5:":"69","PM10:":"82","CO2:":"534","CO:":"5","Temperature:":"5.14","Humidity:":"56.60","Airpressure:":"1013.68","Altitude:":"-3.61"}
[2026-02-13 02:01:06] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969665977","Packet ID:":"0","PM1.0:":"58","PM2.5:":"69","PM10:":"82","CO2:":"534","CO:":"5","Temperature:":"5.14","Humidity:":"56.61","Airpressure:":"1013.72","Altitude:":"-3.90"}
[2026-02-13 02:01:08] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969667924","Packet ID:":"1","PM1.0:":"58","PM2.5:":"69","PM10:":"82","CO2:":"535","CO:":"5","Temperature:":"5.12","Humidity:":"56.60","Airpressure:":"1013.72","Altitude:":"-3.95"}
[2026-02-13 02:01:10] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770969670093","Packet ID:":"2","PM1.0:":"58","PM2.5:":"69","PM10:":"82","CO2:":"536","CO:":"5","Temperature:":"5.10","Humidity:":"56.60","Airpressure:":"1013.70","Altitude:":"-3.79"}
