06:12:43,*** ESP32 startup detected ***
06:12:43,*** Logging started ***
06:15:00,"249,463,463,381,5,20.09,38.97,1011.30,16.21"
06:15:02,"252,460,460,381,5,20.09,38.93,1011.28,16.39"
06:15:04,"255,460,460,381,5,20.10,38.94,1011.31,16.18"
06:15:06,"258,459,459,381,5,20.10,38.99,1011.30,16.29"
06:15:09,"261,459,459,381,5,20.10,39.00,1011.27,16.50"
06:15:11,"264,462,462,380,5,20.11,38.99,1011.29,16.33"
06:15:13,"264,463,463,381,5,20.11,39.00,1011.31,16.20"
06:15:15,"267,465,465,380,5,20.11,38.94,1011.28,16.46"
06:15:17,"270,466,466,380,5,20.10,38.97,1011.29,16.34"
06:15:20,"273,468,468,380,5,20.11,38.98,1011.30,16.23"
06:15:22,"276,469,469,379,5,20.10,39.02,1011.31,16.14"
06:15:24,"280,474,474,379,5,20.11,39.07,1011.30,16.29"
06:15:26,"286,480,480,379,5,20.11,39.08,1011.32,16.12"
06:15:29,"291,483,483,379,5,20.11,39.08,1011.31,16.14"
06:15:31,"294,484,484,379,5,20.11,39.11,1011.32,16.09"
06:15:33,"297,486,486,379,5,20.11,39.11,1011.28,16.39"
