[2026-02-12 18:34:59] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942899413","Packet ID:":"0","PM1.0:":"52","PM2.5:":"589","PM10:":"591","CO2:":"438","CO:":"5","Temperature:":"10.71","Humidity:":"44.48","Airpressure:":"1013.19","Altitude:":"0.53"}
[2026-02-12 18:35:01] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942901632","Packet ID:":"0","PM1.0:":"55","PM2.5:":"631","PM10:":"631","CO2:":"438","CO:":"5","Temperature:":"10.69","Humidity:":"44.51","Airpressure:":"1013.18","Altitude:":"0.55"}
[2026-02-12 18:35:04] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942904082","Packet ID:":"0","PM1.0:":"60","PM2.5:":"682","PM10:":"682","CO2:":"439","CO:":"5","Temperature:":"10.68","Humidity:":"44.52","Airpressure:":"1013.19","Altitude:":"0.52"}
[2026-02-12 18:35:06] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942906075","Packet ID:":"0","PM1.0:":"60","PM2.5:":"682","PM10:":"682","CO2:":"440","CO:":"5","Temperature:":"10.67","Humidity:":"44.52","Airpressure:":"1013.20","Altitude:":"0.42"}
[2026-02-12 18:35:08] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942908258","Packet ID:":"0","PM1.0:":"63","PM2.5:":"693","PM10:":"693","CO2:":"440","CO:":"5","Temperature:":"10.66","Humidity:":"44.67","Airpressure:":"1013.20","Altitude:":"0.41"}
[2026-02-12 18:35:11] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942911290","Packet ID:":"0","PM1.0:":"63","PM2.5:":"703","PM10:":"703","CO2:":"440","CO:":"5","Temperature:":"10.65","Humidity:":"44.76","Airpressure:":"1013.19","Altitude:":"0.54"}
[2026-02-12 18:35:12] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942912718","Packet ID:":"0","PM1.0:":"67","PM2.5:":"718","PM10:":"718","CO2:":"441","CO:":"5","Temperature:":"10.63","Humidity:":"44.70","Airpressure:":"1013.17","Altitude:":"0.68"}
[2026-02-12 18:35:15] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942914940","Packet ID:":"0","PM1.0:":"67","PM2.5:":"718","PM10:":"718","CO2:":"441","CO:":"5","Temperature:":"10.61","Humidity:":"44.75","Airpressure:":"1013.15","Altitude:":"0.79"}
[2026-02-12 18:35:17] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942917531","Packet ID:":"0","PM1.0:":"69","PM2.5:":"721","PM10:":"721","CO2:":"442","CO:":"5","Temperature:":"10.60","Humidity:":"44.70","Airpressure:":"1013.17","Altitude:":"0.66"}
[2026-02-12 18:35:19] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942919401","Packet ID:":"0","PM1.0:":"69","PM2.5:":"721","PM10:":"721","CO2:":"442","CO:":"5","Temperature:":"10.58","Humidity:":"44.60","Airpressure:":"1013.19","Altitude:":"0.53"}
[2026-02-12 18:35:21] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942921557","Packet ID:":"0","PM1.0:":"69","PM2.5:":"721","PM10:":"721","CO2:":"442","CO:":"5","Temperature:":"10.57","Humidity:":"44.64","Airpressure:":"1013.20","Altitude:":"0.45"}
[2026-02-12 18:35:24] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942924251","Packet ID:":"0","PM1.0:":"69","PM2.5:":"717","PM10:":"717","CO2:":"443","CO:":"5","Temperature:":"10.54","Humidity:":"44.58","Airpressure:":"1013.21","Altitude:":"0.36"}
[2026-02-12 18:35:26] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942925999","Packet ID:":"0","PM1.0:":"66","PM2.5:":"705","PM10:":"705","CO2:":"443","CO:":"5","Temperature:":"10.52","Humidity:":"44.63","Airpressure:":"1013.15","Altitude:":"0.85"}
[2026-02-12 18:35:28] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942928217","Packet ID:":"0","PM1.0:":"66","PM2.5:":"705","PM10:":"705","CO2:":"443","CO:":"5","Temperature:":"10.51","Humidity:":"44.56","Airpressure:":"1013.17","Altitude:":"0.64"}
[2026-02-12 18:35:31] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942930967","Packet ID:":"0","PM1.0:":"64","PM2.5:":"699","PM10:":"699","CO2:":"443","CO:":"5","Temperature:":"10.49","Humidity:":"44.53","Airpressure:":"1013.20","Altitude:":"0.44"}
[2026-02-12 18:35:32] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942932633","Packet ID:":"0","PM1.0:":"63","PM2.5:":"693","PM10:":"693","CO2:":"444","CO:":"5","Temperature:":"10.47","Humidity:":"44.55","Airpressure:":"1013.20","Altitude:":"0.40"}
[2026-02-12 18:35:35] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942934914","Packet ID:":"0","PM1.0:":"52","PM2.5:":"624","PM10:":"624","CO2:":"444","CO:":"5","Temperature:":"10.45","Humidity:":"44.56","Airpressure:":"1013.22","Altitude:":"0.21"}
[2026-02-12 18:35:37] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942937207","Packet ID:":"0","PM1.0:":"52","PM2.5:":"624","PM10:":"624","CO2:":"444","CO:":"5","Temperature:":"10.44","Humidity:":"44.51","Airpressure:":"1013.20","Altitude:":"0.39"}
[2026-02-12 18:35:39] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942939357","Packet ID:":"0","PM1.0:":"52","PM2.5:":"618","PM10:":"618","CO2:":"444","CO:":"5","Temperature:":"10.43","Humidity:":"44.63","Airpressure:":"1013.19","Altitude:":"0.48"}
[2026-02-12 18:35:41] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942941554","Packet ID:":"0","PM1.0:":"52","PM2.5:":"612","PM10:":"612","CO2:":"444","CO:":"5","Temperature:":"10.41","Humidity:":"44.65","Airpressure:":"1013.24","Altitude:":"0.11"}
[2026-02-12 18:35:44] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942943929","Packet ID:":"0","PM1.0:":"51","PM2.5:":"606","PM10:":"606","CO2:":"444","CO:":"5","Temperature:":"10.40","Humidity:":"44.73","Airpressure:":"1013.22","Altitude:":"0.23"}
[2026-02-12 18:35:46] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942945982","Packet ID:":"0","PM1.0:":"49","PM2.5:":"585","PM10:":"585","CO2:":"444","CO:":"5","Temperature:":"10.38","Humidity:":"44.80","Airpressure:":"1013.21","Altitude:":"0.36"}
[2026-02-12 18:35:48] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942948210","Packet ID:":"0","PM1.0:":"49","PM2.5:":"585","PM10:":"585","CO2:":"444","CO:":"5","Temperature:":"10.36","Humidity:":"44.89","Airpressure:":"1013.21","Altitude:":"0.30"}
[2026-02-12 18:35:50] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942950651","Packet ID:":"0","PM1.0:":"48","PM2.5:":"565","PM10:":"565","CO2:":"445","CO:":"5","Temperature:":"10.35","Humidity:":"44.88","Airpressure:":"1013.19","Altitude:":"0.49"}
[2026-02-12 18:35:52] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942952632","Packet ID:":"0","PM1.0:":"48","PM2.5:":"559","PM10:":"559","CO2:":"445","CO:":"5","Temperature:":"10.34","Humidity:":"44.90","Airpressure:":"1013.22","Altitude:":"0.28"}
[2026-02-12 18:35:55] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942954837","Packet ID:":"0","PM1.0:":"48","PM2.5:":"555","PM10:":"555","CO2:":"445","CO:":"5","Temperature:":"10.33","Humidity:":"44.97","Airpressure:":"1013.21","Altitude:":"0.30"}
[2026-02-12 18:35:57] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942957371","Packet ID:":"0","PM1.0:":"48","PM2.5:":"555","PM10:":"555","CO2:":"445","CO:":"5","Temperature:":"10.32","Humidity:":"44.99","Airpressure:":"1013.22","Altitude:":"0.23"}
[2026-02-12 18:35:59] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942959288","Packet ID:":"1","PM1.0:":"46","PM2.5:":"514","PM10:":"514","CO2:":"446","CO:":"5","Temperature:":"10.31","Humidity:":"45.01","Airpressure:":"1013.20","Altitude:":"0.43"}
[2026-02-12 18:36:01] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942961490","Packet ID:":"2","PM1.0:":"45","PM2.5:":"510","PM10:":"510","CO2:":"446","CO:":"5","Temperature:":"10.29","Humidity:":"45.06","Airpressure:":"1013.22","Altitude:":"0.28"}
[2026-02-12 18:36:04] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942964079","Packet ID:":"3","PM1.0:":"45","PM2.5:":"504","PM10:":"504","CO2:":"447","CO:":"5","Temperature:":"10.27","Humidity:":"45.26","Airpressure:":"1013.20","Altitude:":"0.42"}
[2026-02-12 18:36:06] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942965974","Packet ID:":"4","PM1.0:":"43","PM2.5:":"486","PM10:":"486","CO2:":"448","CO:":"5","Temperature:":"10.25","Humidity:":"45.32","Airpressure:":"1013.20","Altitude:":"0.43"}
[2026-02-12 18:36:08] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942968182","Packet ID:":"5","PM1.0:":"43","PM2.5:":"480","PM10:":"480","CO2:":"448","CO:":"5","Temperature:":"10.24","Humidity:":"45.31","Airpressure:":"1013.21","Altitude:":"0.33"}
[2026-02-12 18:36:11] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942970810","Packet ID:":"6","PM1.0:":"42","PM2.5:":"478","PM10:":"480","CO2:":"449","CO:":"5","Temperature:":"10.22","Humidity:":"45.24","Airpressure:":"1013.14","Altitude:":"0.89"}
[2026-02-12 18:36:12] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942972637","Packet ID:":"7","PM1.0:":"42","PM2.5:":"478","PM10:":"480","CO2:":"449","CO:":"5","Temperature:":"10.20","Humidity:":"45.22","Airpressure:":"1013.15","Altitude:":"0.80"}
[2026-02-12 18:36:15] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942974839","Packet ID:":"8","PM1.0:":"42","PM2.5:":"478","PM10:":"480","CO2:":"450","CO:":"5","Temperature:":"10.19","Humidity:":"45.31","Airpressure:":"1013.16","Altitude:":"0.79"}
[2026-02-12 18:36:17] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942977049","Packet ID:":"9","PM1.0:":"42","PM2.5:":"480","PM10:":"480","CO2:":"450","CO:":"5","Temperature:":"10.18","Humidity:":"45.39","Airpressure:":"1013.16","Altitude:":"0.75"}
[2026-02-12 18:36:19] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942979277","Packet ID:":"10","PM1.0:":"43","PM2.5:":"486","PM10:":"487","CO2:":"450","CO:":"5","Temperature:":"10.17","Humidity:":"45.51","Airpressure:":"1013.16","Altitude:":"0.79"}
[2026-02-12 18:36:21] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942981483","Packet ID:":"11","PM1.0:":"43","PM2.5:":"486","PM10:":"487","CO2:":"451","CO:":"5","Temperature:":"10.16","Humidity:":"45.56","Airpressure:":"1013.19","Altitude:":"0.52"}
[2026-02-12 18:36:24] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942983773","Packet ID:":"12","PM1.0:":"43","PM2.5:":"489","PM10:":"490","CO2:":"451","CO:":"5","Temperature:":"10.14","Humidity:":"45.51","Airpressure:":"1013.20","Altitude:":"0.46"}
[2026-02-12 18:36:26] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942985910","Packet ID:":"13","PM1.0:":"43","PM2.5:":"492","PM10:":"492","CO2:":"451","CO:":"5","Temperature:":"10.12","Humidity:":"45.48","Airpressure:":"1013.17","Altitude:":"0.68"}
[2026-02-12 18:36:28] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942988139","Packet ID:":"14","PM1.0:":"43","PM2.5:":"492","PM10:":"492","CO2:":"451","CO:":"5","Temperature:":"10.09","Humidity:":"45.48","Airpressure:":"1013.17","Altitude:":"0.70"}
[2026-02-12 18:36:30] interlab/node/bluetooth/38182BB39C56/data: {"Timestamp:":"1770942990501","Packet ID:":"15","PM1.0:":"45","PM2.5:":"505","PM10:":"505","CO2:":"451","CO:":"5","Temperature:":"10.08","Humidity:":"45.57","Airpressure:":"1013.18","Altitude:":"0.59"}
